0	5180
1	5150
2	5100
3	5300
4	5450
5	5500
6	5560
7	5550
8	5800
9	5900
10	6300
11	6200
12	6150
13	6050
14	6050
15	6100
16	6450
17	6300
18	6000
19	6000
20	6100
21	5800
22	5500
23	5350
24	5200
25	4830
26	4830
27	4850
28	4800
29	4800
30	4850
31	4900
32	4830
33	4780
34	4600
35	4520
36	4450
37	4480
38	4500
39	4550
40	4650
41	4620
42	4590
43	4570
44	4600
45	4600
46	4550
47	4450
48	4410
49	4420
50	4420
51	4420
52	4350
53	4300
54	4120
55	4100
56	4150
57	4100
58	4060
59	4050
60	4020
61	3980
62	3970
63	3970
64	3920
65	3900
66	3900
67	3850
68	3820
69	3850
70	3880
71	3880
72	3820
73	3810
74	3800
75	3830
76	3830
77	3820
78	3820
79	3850
80	3780
81	3770
82	3780
83	3730
84	3710
85	3700
86	3750
87	3750
88	3680
89	3730
90	3730
91	3700
92	3700
93	3730
94	3790
95	3780
96	3730
97	3710
98	3740
99	3770
100	3790
101	3820
102	3840
103	3850
104	3870
105	3880
106	3880
107	3880
108	3860
109	3860
110	3830
111	3760
112	3710
113	3700
114	3630
115	3650
116	3670
117	3670
118	3670
119	3680
120	3680
121	3730
122	3790
123	3810
124	3830
125	3850
126	3880
127	3880
128	3840
129	3850
130	3850
131	3850
132	3890
133	3880
134	3870
135	3870
136	3850
137	3800
138	3760
139	3740
140	3730
141	3720
142	3720
143	3710
144	3710
145	3730
146	3760
147	3760
148	3750
149	3700
150	3700
151	3690
152	3700
153	3700
154	3700
155	3680
156	3650
157	3620
158	3600
159	3610
160	3620
161	3630
162	3620
163	3580
164	3570
165	3570
166	3550
167	3500
168	3480
169	3470
170	3450
171	3410
172	3400
173	3400
174	3460
175	3470
176	3480
177	3500
178	3500
179	3490
180	3490
181	3500
182	3510
183	3500
184	3540
185	3550
186	3560
187	3580
188	3540
189	3530
190	3510
191	3510
192	3490
193	3520
194	3600
195	3610
196	3630
197	3630
198	3630
